"feature","coef"
"ST1A1",1.79023200108916
"CD40",1.50685979599837
"TNFSF14",1.70690740423076
"OSM",1.55532445038185
"DNER",1.28651993126764
"IL8",1.44742787426629
"CCL11",1.31781552105576
"HGF",1.36570219398339
"FLT3L",1.30412737600663
"CCL25",1.19386488235226
"CXCL11",1.26819412126789
"IL18_INFLAM",1.17875864742924
"LIFR",1.259257921908
"FGF21_INFLAM",1.3192635917624
"PDL1",1.30013965994744
"CCL3_INFLAM",1.27555707077896
"SIRT2",1.52091737539448
"ENRAGE",1.42461231498601
"TNFB",1.2512971628277
"IL10RB",1.22889414852769
"OPG_INFLAM",1.24214297228719
"CXCL10",1.30699425603062
"AXIN1",1.45580545001812
"CD5",1.20646532851341
